id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end
40001001001	40001001	Родословие				
40001001002	40001001	Иисуса				
40001001003	40001001	Христа	y			
40001001004	40001001	,		y		
40001001005	40001001	Сына				
40001001006	40001001	Давидова	y			
40001001007	40001001	,		y		
40001001008	40001001	Сына				
40001001009	40001001	Авраамова	y			
40001001010	40001001	.		y		
40001002001	40001002	Авраам				
40001002002	40001002	родил				
40001002003	40001002	Исаака	y			
40001002004	40001002	;		y		
40001002005	40001002	Исаак				
40001002006	40001002	родил				
40001002007	40001002	Иакова	y			
40001002008	40001002	;		y		
40001002009	40001002	Иаков				
40001002010	40001002	родил				
40001002011	40001002	Иуду				
40001002012	40001002	и				
40001002013	40001002	братьев				
40001002014	40001002	его	y			
40001002015	40001002	;		y		
40001003001	40001003	Иуда				
40001003002	40001003	родил				
40001003003	40001003	Фареса				
40001003004	40001003	и				
40001003005	40001003	Зару				
40001003006	40001003	от				
40001003007	40001003	Фамари	y			
40001003008	40001003	;		y		
40001003009	40001003	Фарес				
40001003010	40001003	родил				
40001003011	40001003	Есрома	y			
40001003012	40001003	;		y		
40001003013	40001003	Есром				
40001003014	40001003	родил				
40001003015	40001003	Арама	y			
40001003016	40001003	;		y		
40001004001	40001004	Арам				
40001004002	40001004	родил				
40001004003	40001004	Аминадава	y			
40001004004	40001004	;		y		
40001004005	40001004	Аминадав				
40001004006	40001004	родил				
40001004007	40001004	Наассона	y			
40001004008	40001004	;		y		
40001004009	40001004	Наассон				
40001004010	40001004	родил				
40001004011	40001004	Салмона	y			
40001004012	40001004	;		y		
40001005001	40001005	Салмон				
40001005002	40001005	родил				
40001005003	40001005	Вооза				
40001005004	40001005	от				
40001005005	40001005	Рахавы	y			
40001005006	40001005	;		y		
40001005007	40001005	Вооз				
40001005008	40001005	родил				
40001005009	40001005	Овида				
40001005010	40001005	от				
40001005011	40001005	Руфи	y			
40001005012	40001005	;		y		
40001005013	40001005	Овид				
40001005014	40001005	родил				
40001005015	40001005	Иессея	y			
40001005016	40001005	;		y		
40001006001	40001006	Иессей				
40001006002	40001006	родил				
40001006003	40001006	Давида				
40001006004	40001006	царя	y			
40001006005	40001006	.		y		
40001006006	40001006	Давид				
40001006007	40001006	царь				
40001006008	40001006	родил				
40001006009	40001006	Соломона				
40001006010	40001006	от				
40001006011	40001006	бывшей				
40001006012	40001006	за				
40001006013	40001006	Уриею	y			
40001006014	40001006	;		y		
40001007001	40001007	Соломон				
40001007002	40001007	родил				
40001007003	40001007	Ровоама	y			
40001007004	40001007	;		y		
40001007005	40001007	Ровоам				
40001007006	40001007	родил				
40001007007	40001007	Авию	y			
40001007008	40001007	;		y		
40001007009	40001007	Авия				
40001007010	40001007	родил				
40001007011	40001007	Асу	y			
40001007012	40001007	;		y		
40001008001	40001008	Аса				
40001008002	40001008	родил				
40001008003	40001008	Иосафата	y			
40001008004	40001008	;		y		
40001008005	40001008	Иосафат				
40001008006	40001008	родил				
40001008007	40001008	Иорама	y			
40001008008	40001008	;		y		
40001008009	40001008	Иорам				
40001008010	40001008	родил				
40001008011	40001008	Озию	y			
40001008012	40001008	;		y		
40001009001	40001009	Озия				
40001009002	40001009	родил				
40001009003	40001009	Иоафама	y			
40001009004	40001009	;		y		
40001009005	40001009	Иоафам				
40001009006	40001009	родил				
40001009007	40001009	Ахаза	y			
40001009008	40001009	;		y		
40001009009	40001009	Ахаз				
40001009010	40001009	родил				
40001009011	40001009	Езекию	y			
40001009012	40001009	;		y		
40001010001	40001010	Езекия				
40001010002	40001010	родил				
40001010003	40001010	Манассию	y			
40001010004	40001010	;		y		
40001010005	40001010	Манассия				
40001010006	40001010	родил				
40001010007	40001010	Амона				
40001010008	40001010	;		y		
40001010009	40001010	Амон				
40001010010	40001010	родил				
40001010011	40001010	Иосию	y			
40001010012	40001010	;		y		
40001011001	40001011	Иосия				
40001011002	40001011	родил				
40001011003	40001011	Иоакима	y			
40001011004	40001011	;		y		
40001011005	40001011	Иоаким				
40001011006	40001011	родил				
40001011007	40001011	Иехонию				
40001011008	40001011	и				
40001011009	40001011	братьев				
40001011010	40001011	его	y			
40001011011	40001011	,		y		
40001011012	40001011	перед				
40001011013	40001011	переселением				
40001011014	40001011	в				
40001011015	40001011	Вавилон	y			
40001011016	40001011	.		y		
40001012001	40001012	По				
40001012002	40001012	переселении				
40001012003	40001012	же				
40001012004	40001012	в				
40001012005	40001012	Вавилон	y			
40001012006	40001012	,		y		
40001012007	40001012	Иехония				
40001012008	40001012	родил				
40001012009	40001012	Салафииля	y			
40001012010	40001012	;		y		
40001012011	40001012	Салафииль				
40001012012	40001012	родил				
40001012013	40001012	Зоровавеля	y			
40001012014	40001012	;		y		
40001013001	40001013	Зоровавель				
40001013002	40001013	родил				
40001013003	40001013	Авиуда	y			
40001013004	40001013	;		y		
40001013005	40001013	Авиуд				
40001013006	40001013	родил				
40001013007	40001013	Елиакима	y			
40001013008	40001013	;		y		
40001013009	40001013	Елиаким				
40001013010	40001013	родил				
40001013011	40001013	Азора	y			
40001013012	40001013	;		y		
40001014001	40001014	Азор				
40001014002	40001014	родил				
40001014003	40001014	Садока	y			
40001014004	40001014	;		y		
40001014005	40001014	Садок				
40001014006	40001014	родил				
40001014007	40001014	Ахима	y			
40001014008	40001014	;		y		
40001014009	40001014	Ахим				
40001014010	40001014	родил				
40001014011	40001014	Елиуда	y			
40001014012	40001014	;		y		
40001015001	40001015	Елиуд				
40001015002	40001015	родил				
40001015003	40001015	Елеазара	y			
40001015004	40001015	;		y		
40001015005	40001015	Елеазар				
40001015006	40001015	родил				
40001015007	40001015	Матфана	y			
40001015008	40001015	;		y		
40001015009	40001015	Матфан				
40001015010	40001015	родил				
40001015011	40001015	Иакова	y			
40001015012	40001015	;		y		
40001016001	40001016	Иаков				
40001016002	40001016	родил				
40001016003	40001016	Иосифа	y			
40001016004	40001016	,		y		
40001016005	40001016	мужа				
40001016006	40001016	Марии	y			
40001016007	40001016	,		y		
40001016008	40001016	от				
40001016009	40001016	Которой				
40001016010	40001016	родился				
40001016011	40001016	Иисус	y			
40001016012	40001016	,		y		
40001016013	40001016	называемый				
40001016014	40001016	Христос	y			
40001016015	40001016	.		y		
40001017001	40001017	Итак	y			
40001017002	40001017	,		y		
40001017003	40001017	всех				
40001017004	40001017	родов				
40001017005	40001017	от				
40001017006	40001017	Авраама				
40001017007	40001017	до				
40001017008	40001017	Давида				
40001017009	40001017	четырнадцать				
40001017010	40001017	родов	y			
40001017011	40001017	;		y		
40001017012	40001017	и				
40001017013	40001017	от				
40001017014	40001017	Давида				
40001017015	40001017	до				
40001017016	40001017	переселения				
40001017017	40001017	в				
40001017018	40001017	Вавилон				
40001017019	40001017	четырнадцать				
40001017020	40001017	родов	y			
40001017021	40001017	;		y		
40001017022	40001017	и				
40001017023	40001017	от				
40001017024	40001017	переселения				
40001017025	40001017	в				
40001017026	40001017	Вавилон				
40001017027	40001017	до				
40001017028	40001017	Христа				
40001017029	40001017	четырнадцать				
40001017030	40001017	родов	y			
40001017031	40001017	.		y		
40001018001	40001018	Рождество				
40001018002	40001018	Иисуса				
40001018003	40001018	Христа				
40001018004	40001018	было				
40001018005	40001018	так	y			
40001018006	40001018	:		y		
40001018007	40001018	по				
40001018008	40001018	обручении				
40001018009	40001018	Матери				
40001018010	40001018	Его				
40001018011	40001018	Марии				
40001018012	40001018	с				
40001018013	40001018	Иосифом	y			
40001018014	40001018	,		y		
40001018015	40001018	прежде				
40001018016	40001018	нежели				
40001018017	40001018	сочетались				
40001018018	40001018	они	y			
40001018019	40001018	,		y		
40001018020	40001018	оказалось	y			
40001018021	40001018	,		y		
40001018022	40001018	что				
40001018023	40001018	Она				
40001018024	40001018	имеет				
40001018025	40001018	во				
40001018026	40001018	чреве				
40001018027	40001018	от				
40001018028	40001018	Духа				
40001018029	40001018	Святого	y			
40001018030	40001018	.		y		
40001019001	40001019	Иосиф				
40001019002	40001019	же	y			
40001019003	40001019	,		y		
40001019004	40001019	муж				
40001019005	40001019	Ее	y			
40001019006	40001019	,		y		
40001019007	40001019	будучи				
40001019008	40001019	праведен				
